Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
1389302.102853576,-3.6585763,34.701668,62.074993,-14.192913,33.099117,161.79303,34.28781,-35.090275
1389302.1068547796,-3.6446614,29.960226,63.155804,10.107133,9.704347,112.53957,135.75276,-1.3039562
1389302.110855983,-4.4613543,22.301525,72.31152,35.292023,-34.848957,70.73303,152.75282,64.606544
1389302.1148571868,-4.636119,14.95215,70.60689,64.739334,-3.9721668,5.218787,120.2527,154.41794
1389302.1188583903,-4.0954156,9.06532,68.1356,92.25756,27.689377,1.4145471,66.31123,196.59306
1389302.122859594,-3.4596024,3.1253095,50.424435,95.57257,66.03198,-11.859725,-13.2646,122.2287
1389302.1268607976,-2.5530174,-4.9148107,37.219734,90.02058,106.22682,43.32129,-19.017544,18.002827
1389302.130862001,-2.2921693,-8.692445,19.620415,80.87602,105.42786,107.667,25.305923,-44.541393
1389302.1348632048,11.709897,28.230461,46.784203,80.629845,109.35331,151.97345,332.73077,325.72003
1389302.1388644082,13.368598,35.180077,60.07685,84.79319,135.55956,131.06404,327.33316,324.20645
1389302.142865612,14.973637,38.61133,75.63385,105.22478,112.55989,99.933235,88.54114,49.244995
1389302.1468668154,16.595362,46.261314,68.99195,89.44813,83.68421,52.145283,25.468378,6.5385056
1389302.150868019,18.353512,49.896133,66.42879,66.96204,37.10401,-14.007131,-19.594482,-13.154316
1389302.1548692228,19.990875,48.514393,56.879074,38.55045,4.3967075,-2.6934006,-6.225175,95.45963
1389302.1588704262,20.452211,47.2321,46.94929,7.8029156,-20.998098,-3.5316613,83.50912,208.0268
1389302.16287163,21.423405,43.789165,31.231264,-8.980903,-17.047066,59.86169,150.76935,201.64545
1389302.1668728334,22.34645,39.251305,15.781787,-7.1336775,22.507421,103.11205,186.4552,82.3857
1389302.170874037,23.12584,36.943,0.74273056,-20.485315,62.94386,149.40633,101.51431,20.217794
1389302.1748752408,23.640148,29.360514,-7.321691,2.0465143,99.98415,123.48733,26.678724,7.1797547
1389302.1788764442,24.704937,22.047754,-15.735419,34.462975,105.10605,67.605034,-21.33626,62.41648
1389302.182877648,23.827782,15.386622,-15.439277,63.55166,110.17649,23.418808,-14.32833,151.72559
1389302.1868788514,24.013031,9.009683,-7.7888694,76.93939,84.29041,-20.76545,75.692955,152.27036
1389302.190880055,23.383654,1.7088153,8.064742,91.75973,37.421696,-13.5094,134.68367,122.78811
1389302.1948812585,23.306643,-1.9121288,22.687187,99.04945,-2.1033251,40.91522,180.34424,-14.227806
1389302.1988824622,22.042341,-5.083566,38.31877,72.98166,-17.446226,95.96808,102.80909,-16.020613
1389302.202883666,21.013872,-7.6262093,50.619423,53.77493,-25.990873,163.16335,27.666872,43.161358
1389302.2068848694,20.047562,-10.827012,65.06675,25.56227,19.22881,117.78829,-22.670021,128.2204
1389302.210886073,18.184534,-7.7158275,69.32014,8.192641,66.00276,91.31835,-13.361111,192.85333
1389302.2148872765,16.71193,-2.4283736,72.93679,-24.128935,95.7,20.085672,63.353973,121.45248
1389302.2188884802,14.954578,2.559132,62.50566,-10.378691,125.68345,-4.804179,121.771255,19.100998
1389302.222889684,13.680282,7.2162538,55.0961,-0.46090043,124.30279,-5.343707,169.53703,1.2466536
1389302.2268908874,11.70166,14.887064,41.13374,23.314648,79.743,9.647434,135.70917,18.460089
1389302.230892091,10.0,21.459476,25.26042,50.01054,34.26781,76.97848,30.818346,108.64558
1389302.2348932945,8.261922,27.801266,8.334011,81.08411,-3.4054868,150.10733,5.814021,205.38039
1389302.2388944982,6.5585437,34.76363,-5.7993007,94.460205,-27.572247,163.60509,-44.593903,168.8904
1389302.242895702,4.7659044,41.66497,-8.390672,98.98787,-2.4867804,110.87088,43.22585,50.8272
1389302.2468969054,3.1096497,42.879772,-11.027046,86.39425,16.944084,47.7989,137.14471,-33.86877
1389302.250898109,1.9154608,45.656113,-3.90909,65.975235,66.9698,10.811219,203.0892,1.1964445
1389302.2548993125,0.14651239,50.468998,3.9830146,38.388283,101.62566,-25.858326,112.0841,173.72429
1389302.2589005162,-1.279106,46.907486,11.916205,7.2723265,135.12419,-13.7703,54.136097,323.84106
1389302.2629017197,-2.5286546,46.015873,28.922438,-13.3659725,101.29284,59.900352,-2.48815,357.89325
1389302.2669029234,-2.522897,39.534283,44.012634,-27.25193,72.187065,131.61069,3.7888498,82.00213
1389302.270904127,-2.9255223,35.365818,61.85544,-17.53074,33.081615,157.72644,82.48575,-50.452282
1389302.2749053305,-4.0234323,29.746187,70.8877,8.974289,9.987944,107.00719,210.61546,15.79801
1389302.2789065342,-3.436252,22.35108,76.086716,33.60975,-17.646856,67.830734,289.40244,64.62508
1389302.2829077377,-3.818296,14.798868,73.0138,65.58364,-19.84273,24.869373,138.13615,192.22163
1389302.2869089413,-3.7585173,9.368473,67.501915,84.498085,15.264184,-11.210016,66.03335,170.72197
1389302.290910145,-3.3552773,2.6007729,53.322964,91.6523,64.646515,-14.730857,-19.155897,121.35043
1389302.2949113485,-2.1940935,-0.66358477,37.049538,85.081894,113.15253,37.35903,-36.672718,-14.078471
1389302.2989125522,-2.3236675,-6.98801,20.799417,83.32823,116.88118,107.95543,27.724941,-16.146965
1389302.3029137556,-1.0440252,-8.361308,7.9526196,50.796215,121.591324,125.52723,107.01929,18.918411
1389302.3069149593,0.2719197,-8.016901,-2.0624423,27.520815,74.02102,140.06836,158.31015,155.26552
1389302.3109161628,1.5624206,-7.4437556,-9.287613,0.59254134,34.585117,99.76781,143.69115,158.94736
1389302.3149173665,2.9635887,-2.2349057,-14.813058,-12.061475,-13.6489725,22.942663,77.54636,136.68225
1389302.3189185702,4.753459,0.33341157,-3.7872648,-18.311548,-24.267199,4.2404723,12.7673,15.32927
1389302.3229197736,6.3845024,8.29762,0.6450219,-8.697294,-19.996958,-39.156326,-13.841769,-1.536127
1389302.3269209773,8.179836,14.666643,19.0344,17.890703,16.624882,17.004404,9.25684,25.39707
1389302.3309221808,10.0,21.524084,34.37857,47.37176,63.532948,77.774734,92.06451,129.40312
1389302.3349233845,11.800108,28.031677,49.784744,69.76202,111.26276,150.67883,182.69482,233.57588
1389302.3389245882,13.450092,35.95897,66.681786,101.82743,110.21504,154.78337,129.70715,173.72754
1389302.3429257916,15.465539,40.148075,74.60073,104.927444,109.83682,98.41179,89.88948,56.109425
1389302.3469269953,16.913948,46.148777,70.7909,79.63656,84.121216,52.14246,11.486263,-23.823532
1389302.3509281988,18.687805,48.65961,72.87369,68.218346,35.717648,0.2974479,-58.41062,5.2049932
1389302.3549294025,19.673046,49.7607,58.376717,38.529053,-14.714082,-41.13216,-11.289966,91.60208
1389302.358930606,21.386688,49.99201,44.88714,6.034163,-24.41948,8.746898,92.491066,164.54752
1389302.3629318096,22.157776,46.35288,31.03725,0.50262994,-25.365084,59.866432,138.76463,156.4357
1389302.3669330133,23.024166,42.058517,15.640246,-18.099825,17.678043,130.05777,158.91434,82.130745
1389302.3709342168,23.66883,34.27699,1.5845859,-12.820533,64.35585,122.35224,98.00825,-19.175892
1389302.3749354205,24.123566,28.721958,-2.977736,8.645875,98.373825,108.630226,2.563112,12.549481
1389302.378936624,23.898375,22.230663,-16.59434,33.174793,119.96335,70.17347,-18.669283,121.31257
